Key;Attribute;DefaultLanguage;de-DE
APPLICATION_PROGRAM;VisibleDescription;;
APPLICATION_PROGRAM;Name;RAMSES 718 P;
APPLICATION_PROGRAM;HelpFile;;
ENUM_PAT_A_EINAUSUM8.EIN;Text;EIN;EIN
ENUM_PAT_A_EINAUSUM8.AUS;Text;AUS;AUS
ENUM_PAT_A_EINAUSUM8.UM;Text;UM;UM
ENUM_PAT_A_NEINJA.NEIN;Text;Nein;Nein
ENUM_PAT_A_NEINJA.JA;Text;Ja;Ja
ENUM_PAT_A_PRIOEINAUSKEINE8.KEINE;Text;keine Priorität;keine Priorität
ENUM_PAT_A_PRIOEINAUSKEINE8.P_AUS;Text;Priorität Aus;Priorität Aus
ENUM_PAT_A_PRIOEINAUSKEINE8.P_EIN;Text;Priorität Ein;Priorität Ein
ENUM_PAT_A_SPERRSINN.STD1;Text;Sperren mit 1 (Standard);Sperren mit 1 (Standard)
ENUM_PAT_A_SPERRSINN.INV;Text;Sperren mit 0;Sperren mit 0
ENUM_PAT_A_STETIG2PKT.PI;Text;stetig;stetig
ENUM_PAT_A_STETIG2PKT.2PKT;Text;2-Punkt;2-Punkt
ENUM_PAT_A_TSENDNOTSEND.NICHT;Text;nicht senden;nicht senden
ENUM_PAT_A_TSENDNOTSEND.TELSEND;Text;Telegramm senden;Telegramm senden
ENUM_PAT_A_ZYKSND.NEIN;Text;nicht zyklisch senden;nicht zyklisch senden
ENUM_PAT_A_ZYKSND.1MIN;Text;jede min;jede min
ENUM_PAT_A_ZYKSND.2MIN;Text;alle 2 min;alle 2 min
ENUM_PAT_A_ZYKSND.3MIN;Text;alle 3 min;alle 3 min
ENUM_PAT_A_ZYKSND.5MIN;Text;alle 5 min;alle 5 min
ENUM_PAT_A_ZYKSND.10MIN;Text;alle 10 min;alle 10 min
ENUM_PAT_A_ZYKSND.15MIN;Text;alle 15 min;alle 15 min
ENUM_PAT_A_ZYKSND.20MIN;Text;alle 20 min;alle 20 min
ENUM_PAT_A_ZYKSND.30MIN;Text;alle 30 min;alle 30 min
ENUM_PAT_A_ZYKSND.45MIN;Text;alle 45 min;alle 45 min
ENUM_PAT_A_ZYKSND.60MIN;Text;alle 60 min;alle 60 min
ENUM_PAT_A_ZYKZT.1MIN;Text;jede min;jede min
ENUM_PAT_A_ZYKZT.2MIN;Text;alle 2 min;alle 2 min
ENUM_PAT_A_ZYKZT.3MIN;Text;alle 3 min;alle 3 min
ENUM_PAT_A_ZYKZT.5MIN;Text;alle 5 min;alle 5 min
ENUM_PAT_A_ZYKZT.10MIN;Text;alle 10 min;alle 10 min
ENUM_PAT_A_ZYKZT.15MIN;Text;alle 15 min;alle 15 min
ENUM_PAT_A_ZYKZT.20MIN;Text;alle 20 min;alle 20 min
ENUM_PAT_A_ZYKZT.30MIN;Text;alle 30 min;alle 30 min
ENUM_PAT_A_ZYKZT.45MIN;Text;alle 45 min;alle 45 min
ENUM_PAT_A_ZYKZT.60MIN;Text;alle 60 min;alle 60 min
ENUM_PAT_ALG_LED_HELL.NIE;Text;nie;nie
ENUM_PAT_ALG_LED_HELL.IMMR;Text;immer;immer
ENUM_PAT_ALG_LED_HELL.NACHTS;Text;nur im Nachtbetrieb;nur im Nachtbetrieb
ENUM_PAT_ALG_LED_HELL.BUS;Text;über Bus;über Bus
ENUM_PAT_ALG_LED_REDUZ_OBJTYP.SCHALTEN;Text;über Schaltobjekt;über Schaltobjekt
ENUM_PAT_ALG_LED_REDUZ_OBJTYP.PROZENT;Text;über Prozentwert;über Prozentwert
ENUM_PAT_BM_I34ANALOG.BIN;Text;Binäreingang..;Binäreingang..
ENUM_PAT_BM_I34ANALOG.ANALOG;Text;Temperatursensoreingang..;Temperatursensoreingang..
ENUM_PAT_MW_DELTATMP.NEIN;Text;nicht aufgrund einer Änderung;nicht aufgrund einer Änderung
ENUM_PAT_MW_DELTATMP.0_2;Text;0,2 K;0,2 K
ENUM_PAT_MW_DELTATMP.0_3;Text;0,3 K;0,3 K
ENUM_PAT_MW_DELTATMP.0_5;Text;0,5 K;0,5 K
ENUM_PAT_MW_DELTATMP.0_7;Text;0,7 K;0,7 K
ENUM_PAT_MW_DELTATMP.1;Text;1 K;1 K
ENUM_PAT_MW_DELTATMP.1_5;Text;1,5 K;1,5 K
ENUM_PAT_MW_DELTATMP.2;Text;2 K;2 K
ENUM_PID_HARDWARE_TYPE_RESTRICTION.PID_HARDWARE_TYPE_ENUMERATION;Text;;
ENUM_PAT_RTR_NURSOLLWGEB.VOLLRTR;Text;Raumtemperaturregler;Raumtemperaturregler
ENUM_PAT_RTR_NURSOLLWGEB.SOLLGEB;Text;Sollwertgeber;Sollwertgeber
ENUM_PAT_RTR_FCTRAD.BASIS;Text;Basissollwert;Basissollwert
ENUM_PAT_RTR_FCTRAD.MAN;Text;Manuelle Verschiebung;Manuelle Verschiebung
ENUM_PAT_RTR_FCTRAD.GESP;Text;Gesperrt;Gesperrt
ENUM_PAT_RTR_FCTTAST_RTR.BETR;Text;Betriebsart anwählen;Betriebsart anwählen
ENUM_PAT_RTR_FCTTAST_RTR.GESP;Text;Gesperrt;Gesperrt
ENUM_PAT_RTR_REGELNG.HEIZ;Text;Nur Heizungsregelung;Nur Heizungsregelung
ENUM_PAT_RTR_REGELNG.HK;Text;Heizen und Kühlen;Heizen und Kühlen
ENUM_PAT_RTR_ZTKOMFVERL.30M;Text;30 min;30 min
ENUM_PAT_RTR_ZTKOMFVERL.1H;Text;1 h;1 h
ENUM_PAT_RTR_ZTKOMFVERL.1H5;Text;1,5 h;1,5 h
ENUM_PAT_RTR_ZTKOMFVERL.2H;Text;2 h;2 h
ENUM_PAT_RTR_ZTKOMFVERL.2H5;Text;2,5 h;2,5 h
ENUM_PAT_RTR_ZTKOMFVERL.3H;Text;3 h;3 h
